,id_ccaa,nombre
0,8745,Melilla
1,4,Andalucía
2,5,Aragón
3,6,Cantabria
4,7,Castilla - La Mancha
5,8,Castilla y León
6,9,Cataluña
7,10,País Vasco
8,11,Principado de Asturias
9,13,Comunidad de Madrid
10,14,Comunidad Foral de Navarra
11,15,Comunitat Valenciana
12,16,Extremadura
13,17,Galicia
14,8743,Illes Balears
15,8742,Canarias
16,21,Región de Murcia
17,20,La Rioja
18,8744,Ceuta
