,id_ccaa,anio,mes,id_energia,porcentaje,valor
99,5,2019,Abril,4,0.6570000493195733,402582.527
100,5,2019,Mayo,4,0.6440789699039791,621420.445
101,5,2019,Junio,4,0.5308896110872173,347042.749
102,5,2019,Julio,4,0.6130670166863151,377958.303
103,5,2019,Agosto,4,0.5765102173181944,263386.659
104,5,2019,Septiembre,4,0.7300620559577976,364672.339
105,5,2019,Octubre,4,0.6960409384607692,359265.976
106,5,2019,Noviembre,4,0.690860671765247,588284.062
107,5,2019,Diciembre,4,0.536684545903338,516315.277
108,5,2019,Enero,1,0.0177594372138297,15605.837
109,5,2019,Febrero,1,0.0412721089383846,23485.877
110,5,2019,Marzo,1,0.0437888409700805,31154.675
111,5,2019,Abril,1,0.0419819466077731,25724.805
112,5,2019,Mayo,1,0.0367537925345969,35460.804
113,5,2019,Junio,1,0.0532317759220081,34797.633
114,5,2019,Julio,1,0.0559162484148908,34472.594
115,5,2019,Agosto,1,0.0721589338028952,32966.806
116,5,2019,Septiembre,1,0.0561771371155352,28060.968
117,5,2019,Octubre,1,0.0428577356730451,22121.294
118,5,2019,Noviembre,1,0.0180238078211748,15347.695
119,5,2019,Diciembre,1,0.0300666910345216,28925.543
120,5,2019,Enero,6,0.0055494360003124,4876.483
121,5,2019,Febrero,6,0.0093881183973703,5342.305
122,5,2019,Marzo,6,0.0087163654867673,6201.478
123,5,2019,Abril,6,0.009407666603248,5764.63
124,5,2019,Mayo,6,0.0060753740238846,5861.644
125,5,2019,Junio,6,0.0082443670418091,5389.346
126,5,2019,Julio,6,0.0079672322415876,4911.831
127,5,2019,Agosto,6,0.0082834421350477,3784.405
128,5,2019,Septiembre,6,0.0074107399857892,3701.729
129,5,2019,Octubre,6,0.0084330759235572,4352.786
130,5,2019,Noviembre,6,0.0050038598526016,4260.904
131,5,2019,Diciembre,6,0.0033210695240016,3195.022
132,6,2019,Enero,3,0.5222924662476366,18324.586
133,6,2019,Febrero,3,0.6841095353028828,33896.027
134,6,2019,Marzo,3,0.585801231287587,20897.705
135,6,2019,Abril,3,0.5382456817204587,18934.539
136,6,2019,Mayo,3,0.5085280456423915,16525.627
137,6,2019,Junio,3,0.475925589066639,12824.067
138,6,2019,Julio,3,0.4414146006172019,9794.195
139,6,2019,Agosto,3,0.3025683462878585,5418.636
140,6,2019,Septiembre,3,0.3303970507560269,7280.188
141,6,2019,Octubre,3,0.4409902644542053,14203.371
142,6,2019,Noviembre,3,0.6511028005926668,33469.68
143,6,2019,Diciembre,3,0.6964404577151154,38335.339
144,6,2019,Enero,4,0.1672128677187703,5866.649
145,6,2019,Febrero,4,0.1510598668932108,7484.663
146,6,2019,Marzo,4,0.1703381702936277,6076.595
147,6,2019,Abril,4,0.2019817588403924,7105.364
148,6,2019,Mayo,4,0.1770744406807616,5754.385
149,6,2019,Junio,4,0.1594654875867256,4296.882
150,6,2019,Julio,4,0.1087564610358867,2413.11
151,6,2019,Agosto,4,0.1339668207808451,2399.185
152,6,2019,Septiembre,4,0.2365876783961852,5213.13
153,6,2019,Octubre,4,0.2591032203696971,8345.171
154,6,2019,Noviembre,4,0.2105944348192252,10825.523
155,6,2019,Diciembre,4,0.1295619955103559,7131.698
156,6,2019,Enero,1,0.0020682108850004,72.563
157,6,2019,Febrero,1,0.002971038360126,147.208
158,6,2019,Marzo,1,0.0062592587432656,223.291
159,6,2019,Abril,1,0.0058528785090649,205.894
160,6,2019,Mayo,1,0.0076366167227988,248.167
161,6,2019,Junio,1,0.0085164405472158,229.48
162,6,2019,Julio,1,0.0109595195175597,243.172
163,6,2019,Agosto,1,0.0119683060841597,214.338
164,6,2019,Septiembre,1,0.0090014987294564,198.345
165,6,2019,Octubre,1,0.0044699279771456,143.967
166,6,2019,Noviembre,1,0.0012416009099885,63.824
167,6,2019,Diciembre,1,0.0015217457317919,83.764
168,6,2019,Enero,6,0.208906001720654,7329.449
169,6,2019,Febrero,6,0.09921035524977,4915.641
170,6,2019,Marzo,6,0.1398440919228116,4988.758
171,6,2019,Abril,6,0.1763191092586026,6202.597
172,6,2019,Mayo,6,0.1988917894146017,6463.383
173,6,2019,Junio,6,0.2306350298293451,6214.583
174,6,2019,Julio,6,0.2841241418467538,6304.203
175,6,2019,Agosto,6,0.3600397569909765,6447.88
176,6,2019,Septiembre,6,0.271260864245536,5977.142
177,6,2019,Octubre,6,0.1875117818526611,6039.361
178,6,2019,Noviembre,6,0.1167627571239901,6002.143
179,6,2019,Diciembre,6,0.1094482789711422,6024.545
180,6,2019,Enero,2,0.0995204534279384,3491.6665
181,6,2019,Febrero,2,0.0626492041940103,3104.1215
182,6,2019,Marzo,2,0.0977572477527079,3487.364
183,6,2019,Abril,2,0.0776005716714813,2729.852
184,6,2019,Mayo,2,0.1078691075394461,3505.4205
185,6,2019,Junio,2,0.1254574529700743,3380.5175
186,6,2019,Julio,2,0.1547452769825978,3433.519
187,6,2019,Agosto,2,0.1914567698561601,3428.761
188,6,2019,Septiembre,2,0.1527529078727953,3365.859
189,6,2019,Octubre,2,0.1079248053462905,3476.0315
190,6,2019,Noviembre,2,0.0202984065541292,1043.4315
191,6,2019,Diciembre,2,0.0630275220715943,3469.3295
192,7,2019,Enero,3,0.0462828508598604,56524.881
193,7,2019,Febrero,3,0.0744613924209279,65394.535
194,7,2019,Marzo,3,0.0682606904144673,68060.45
195,7,2019,Abril,3,0.05967701596416,66665.149
196,7,2019,Mayo,3,0.0678031858831627,64692.345
197,7,2019,Junio,3,0.0489777370534038,48251.199
198,7,2019,Julio,3,0.0615231256283332,59170.406
199,7,2019,Agosto,3,0.0645549956790911,51212.644
200,7,2019,Septiembre,3,0.0582555409459045,47172.254
201,7,2019,Octubre,3,0.0310640198559437,24349.004
202,7,2019,Noviembre,3,0.0152324798366716,24587.189
203,7,2019,Diciembre,3,0.0460957771719114,46057.884
204,7,2019,Enero,4,0.8218543355719466,1003724.223
205,7,2019,Febrero,4,0.6959135021712445,611174.978
206,7,2019,Marzo,4,0.6564070246890865,654481.477
207,7,2019,Abril,4,0.7434418478615432,830498.321
208,7,2019,Mayo,4,0.5846381837096982,557814.719
209,7,2019,Junio,4,0.6020842591989168,593152.913
210,7,2019,Julio,4,0.5901790201080526,567609.852
211,7,2019,Agosto,4,0.4988170400421527,395720.567
212,7,2019,Septiembre,4,0.6226146426707015,504160.387
213,7,2019,Octubre,4,0.6767561078609546,530463.773
214,7,2019,Noviembre,4,0.898691233682992,1450603.674
215,7,2019,Diciembre,4,0.8255258860311896,824847.26
216,7,2019,Enero,1,0.0946977788530214,115653.651
217,7,2019,Febrero,1,0.1558054450615431,136833.657
218,7,2019,Marzo,1,0.1798571859398101,179329.581
219,7,2019,Abril,1,0.1331668477363752,148760.584
220,7,2019,Mayo,1,0.2182844850573007,208269.494
221,7,2019,Junio,1,0.2140541026187899,210878.814
222,7,2019,Julio,1,0.2134173631912873,205256.022
223,7,2019,Agosto,1,0.2725477971942958,216217.09
224,7,2019,Septiembre,1,0.2208895988395151,178864.707
225,7,2019,Octubre,1,0.2129428183659385,166911.609
226,7,2019,Noviembre,1,0.0658630359047946,106311.443
227,7,2019,Diciembre,1,0.0963073537490714,96228.184
228,7,2019,Enero,5,0.0196475909626335,23995.448
229,7,2019,Febrero,5,0.047496746408555,41713.263
230,7,2019,Marzo,5,0.0721271966791335,71915.614
231,7,2019,Abril,5,0.0448854509422603,50141.503
232,7,2019,Mayo,5,0.1047382199790525,99932.783
233,7,2019,Junio,5,0.1136778211416731,111991.519
234,7,2019,Julio,5,0.1092999862576767,105120.221
235,7,2019,Agosto,5,0.1352399476002853,107288.293
236,7,2019,Septiembre,5,0.0721119071109657,58392.406
237,7,2019,Octubre,5,0.0503569877749113,39471.469
238,7,2019,Noviembre,5,0.0057419960946841,9268.323
239,7,2019,Diciembre,5,0.004741938124461,4738.04
240,7,2019,Enero,6,0.0175174437525376,21393.916
241,7,2019,Febrero,6,0.0263229139377293,23117.681
242,7,2019,Marzo,6,0.0233479022775023,23279.412
243,7,2019,Abril,6,0.018828837495661,21033.68
244,7,2019,Mayo,6,0.0245359253707858,23410.206
245,7,2019,Junio,6,0.0212060799872161,20891.508
246,7,2019,Julio,6,0.0255805048146501,24602.275
247,7,2019,Agosto,6,0.0288402194841748,22879.467
248,7,2019,Septiembre,6,0.0261283104329131,21157.323
249,7,2019,Octubre,6,0.0288800661422519,22637.149
250,7,2019,Noviembre,6,0.0144712544808575,23358.473
251,7,2019,Diciembre,6,0.0273290449233663,27306.579
252,8,2019,Enero,3,0.2695354577159807,498000.701
253,8,2019,Febrero,3,0.4072416547087818,532852.413
254,8,2019,Marzo,3,0.2899545373278027,525850.947
255,8,2019,Abril,3,0.2425872217114319,371615.305
