,id_ccaa,anio,mes,valor
159,17,2019,Abril,1498887.102
160,17,2019,Mayo,1455568.887
161,17,2019,Junio,1403979.936
162,17,2019,Julio,1459713.949
163,17,2019,Agosto,1458252.716
164,17,2019,Septiembre,1437838.622
165,17,2019,Octubre,1518709.899
166,17,2019,Noviembre,1611162.935
167,17,2019,Diciembre,1639128.236
168,8743,2019,Enero,477795.703
169,8743,2019,Febrero,415344.403
170,8743,2019,Marzo,436816.193
171,8743,2019,Abril,446407.913
172,8743,2019,Mayo,477010.374
173,8743,2019,Junio,539722.271
174,8743,2019,Julio,719464.877
175,8743,2019,Agosto,705099.073
176,8743,2019,Septiembre,572623.989
177,8743,2019,Octubre,490426.996
178,8743,2019,Noviembre,412701.696
179,8743,2019,Diciembre,421812.285
180,8742,2019,Enero,755349.344
181,8742,2019,Febrero,678572.401
182,8742,2019,Marzo,738613.341
183,8742,2019,Abril,701144.535
184,8742,2019,Mayo,724435.551
185,8742,2019,Junio,714689.013
186,8742,2019,Julio,765155.245
187,8742,2019,Agosto,788634.096
188,8742,2019,Septiembre,752661.657
189,8742,2019,Octubre,773780.358
190,8742,2019,Noviembre,734424.275
191,8742,2019,Diciembre,747518.318
192,21,2019,Enero,841665.36
193,21,2019,Febrero,722984.391
194,21,2019,Marzo,769206.22
195,21,2019,Abril,717397.568
196,21,2019,Mayo,753933.437
197,21,2019,Junio,781848.129
198,21,2019,Julio,934973.704
199,21,2019,Agosto,891511.529
200,21,2019,Septiembre,740195.578
201,21,2019,Octubre,748991.037
202,21,2019,Noviembre,756543.658
203,21,2019,Diciembre,777171.494
204,20,2019,Enero,157569.432
205,20,2019,Febrero,137243.524
206,20,2019,Marzo,144513.078
207,20,2019,Abril,133753.57
208,20,2019,Mayo,134904.534
209,20,2019,Junio,133645.37
210,20,2019,Julio,153082.682
211,20,2019,Agosto,134540.513
212,20,2019,Septiembre,136656.05
213,20,2019,Octubre,148673.966
214,20,2019,Noviembre,145490.168
215,20,2019,Diciembre,141234.636
216,8744,2019,Enero,17830.239
217,8744,2019,Febrero,16019.527
218,8744,2019,Marzo,16598.235
219,8744,2019,Abril,15221.094
220,8744,2019,Mayo,16753.54
221,8744,2019,Junio,16642.239
222,8744,2019,Julio,18185.252
223,8744,2019,Agosto,18656.52
224,8744,2019,Septiembre,17603.892
225,8744,2019,Octubre,17669.152
226,8744,2019,Noviembre,17157.331
227,8744,2019,Diciembre,17711.219
228,8745,2020,Enero,17812.714
229,8745,2020,Febrero,15817.3
230,8745,2020,Marzo,15735.69
231,8745,2020,Abril,14737.721
232,8745,2020,Mayo,15573.759
233,8745,2020,Junio,16708.38
234,8745,2020,Julio,21140.943
235,8745,2020,Agosto,22335.731
236,8745,2020,Septiembre,18793.899
237,8745,2020,Octubre,16551.482
238,8745,2020,Noviembre,15635.69
239,8745,2020,Diciembre,17166.954
240,4,2020,Enero,3648510.198
241,4,2020,Febrero,3085375.745
242,4,2020,Marzo,3136155.192
243,4,2020,Abril,2680249.534
244,4,2020,Mayo,2833738.348
245,4,2020,Junio,2999931.629
246,4,2020,Julio,3944796.05
247,4,2020,Agosto,3852523.918
248,4,2020,Septiembre,3248747.485
249,4,2020,Octubre,3070190.647
250,4,2020,Noviembre,3040312.816
251,4,2020,Diciembre,3482080.542
252,5,2020,Enero,936969.954
253,5,2020,Febrero,847063.224
254,5,2020,Marzo,845670.025
255,5,2020,Abril,715893.499
256,5,2020,Mayo,780472.526
257,5,2020,Junio,800765.41
258,5,2020,Julio,883086.548
259,5,2020,Agosto,884240.341
260,5,2020,Septiembre,844042.251
261,5,2020,Octubre,848048.821
262,5,2020,Noviembre,854810.773
263,5,2020,Diciembre,873158.298
264,6,2020,Enero,341784.053
265,6,2020,Febrero,330739.792
266,6,2020,Marzo,356180.394
267,6,2020,Abril,287372.937
268,6,2020,Mayo,314378.961
269,6,2020,Junio,280657.543
270,6,2020,Julio,319142.121
271,6,2020,Agosto,340134.022
272,6,2020,Septiembre,333667.089
273,6,2020,Octubre,351119.216
274,6,2020,Noviembre,344154.085
