,value,percentage,datetime,tipo,anio,ccaa
0,4.709,0.04312705492311496,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,2020,Melilla
1,5.41,0.013533678471319734,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,2020,Melilla
2,6.338,0.011500770740355312,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,2020,Melilla
3,5.699,0.011687211741761632,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
4,8.014,0.01596016928055763,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
5,8.75,0.015969003707546402,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
6,7.909,0.014370254354773942,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
7,8.19,0.015613978228128034,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
8,6.833,0.013145630227446529,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
9,6.295,0.010807989499338559,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,2020,Melilla
10,4.727,0.009022473153990924,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,2020,Melilla
11,3.833,0.012629366159361315,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,2020,Melilla
0,104.48,0.956872945076885,2020-01-01T00:00:00.000+01:00,Residuos renovables,2020,Melilla
1,394.3335,0.9864663215286802,2020-02-01T00:00:00.000+01:00,Residuos renovables,2020,Melilla
2,544.7555,0.9884992292596447,2020-03-01T00:00:00.000+01:00,Residuos renovables,2020,Melilla
3,481.928,0.9883127882582383,2020-04-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
4,494.111,0.9840398307194423,2020-05-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
5,539.1865,0.9840309962924536,2020-06-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
6,542.464,0.9856297456452261,2020-07-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
7,516.34,0.9843860217718718,2020-08-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
8,512.9595,0.9868543697725535,2020-09-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
9,576.1445,0.9891920105006615,2020-10-01T00:00:00.000+02:00,Residuos renovables,2020,Melilla
10,519.187,0.9909775268460091,2020-11-01T00:00:00.000+01:00,Residuos renovables,2020,Melilla
11,299.666,0.9873706338406386,2020-12-01T00:00:00.000+01:00,Residuos renovables,2020,Melilla
0,109.18900000000001,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,2020,Melilla
1,399.74350000000004,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,2020,Melilla
2,551.0935,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,2020,Melilla
3,487.627,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
4,502.125,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
5,547.9365,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
6,550.373,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
7,524.5300000000001,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
8,519.7925,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
9,582.4395,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,2020,Melilla
10,523.914,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,2020,Melilla
11,303.499,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,2020,Melilla
0,43652.072,0.058801085665720704,2020-01-01T00:00:00.000+01:00,Hidráulica,2020,Andalucía
1,31195.375,0.03191093175672468,2020-02-01T00:00:00.000+01:00,Hidráulica,2020,Andalucía
2,28665.354,0.025448149156197464,2020-03-01T00:00:00.000+01:00,Hidráulica,2020,Andalucía
3,36060.911,0.030538847906623798,2020-04-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
4,53778.995,0.03735528930913317,2020-05-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
5,80407.323,0.05712010988260378,2020-06-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
6,97704.613,0.06400900252958905,2020-07-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
7,84337.254,0.060918786085059705,2020-08-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
8,42483.781,0.03177239552288383,2020-09-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
9,17755.557,0.014728748330298231,2020-10-01T00:00:00.000+02:00,Hidráulica,2020,Andalucía
10,9664.39,0.009346622337405236,2020-11-01T00:00:00.000+01:00,Hidráulica,2020,Andalucía
11,19656.556,0.018881947915773658,2020-12-01T00:00:00.000+01:00,Hidráulica,2020,Andalucía
0,353679.441,0.47642034285211504,2020-01-01T00:00:00.000+01:00,Eólica,2020,Andalucía
1,472449.362,0.4832863637411032,2020-02-01T00:00:00.000+01:00,Eólica,2020,Andalucía
2,626781.016,0.5564353673581351,2020-03-01T00:00:00.000+01:00,Eólica,2020,Andalucía
3,660929.653,0.5597204726731569,2020-04-01T00:00:00.000+02:00,Eólica,2020,Andalucía
4,640374.893,0.4448091563317648,2020-05-01T00:00:00.000+02:00,Eólica,2020,Andalucía
5,490236.942,0.34825668795803155,2020-06-01T00:00:00.000+02:00,Eólica,2020,Andalucía
6,584489.962,0.38291558921764945,2020-07-01T00:00:00.000+02:00,Eólica,2020,Andalucía
7,463431.146,0.33474723813426593,2020-08-01T00:00:00.000+02:00,Eólica,2020,Andalucía
8,645826.847,0.48299528759412863,2020-09-01T00:00:00.000+02:00,Eólica,2020,Andalucía
9,550722.162,0.45683996981991226,2020-10-01T00:00:00.000+02:00,Eólica,2020,Andalucía
10,596831.057,0.5772070962588822,2020-11-01T00:00:00.000+01:00,Eólica,2020,Andalucía
11,640398.885,0.6151626150526839,2020-12-01T00:00:00.000+01:00,Eólica,2020,Andalucía
0,150462.326,0.20267876678544824,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,2020,Andalucía
